연번,규모,진앙지,위도,경도,관측소명,진앙거리,감지시각,최대지반가속도(pga)
1,2.1,경북 영덕군 동북동쪽 24km 해역,36.47,129.62,영해,20.77,2022-08-24 18:31,0.195
2,2.1,경북 영덕군 동북동쪽 24km 해역,36.47,129.62,남호,26.52,2022-08-24 18:31,0.219
3,2.1,경북 영덕군 동북동쪽 24km 해역,36.47,129.62,평해,31.15,2022-08-24 18:31,0.125
4,2.1,경북 영덕군 동북동쪽 24km 해역,36.47,129.62,흥해시추,46.3,2022-08-24 18:31,0.024
5,2.1,경북 영덕군 동북동쪽 24km 해역,36.47,129.62,흥해,48.02,2022-08-24 18:31,0.133
6,2,경북 영덕군 동쪽 47km 해역,36.39,129.89,남호,46.15,2022-09-03 00:45,0.03
7,2,경북 영덕군 동쪽 47km 해역,36.39,129.89,영해,46.46,2022-09-03 00:45,0.113
8,2.4,경북 영덕군 동북동쪽 24km 해역,36.46,129.63,영해,22.06,2022-09-11 16:28,0.148
9,2.4,경북 영덕군 동북동쪽 24km 해역,36.46,129.63,남호,26.64,2022-09-11 16:28,0.263
10,2.4,경북 영덕군 동북동쪽 24km 해역,36.46,129.63,평해,32.56,2022-09-11 16:28,0.072
11,2.4,경북 영덕군 동북동쪽 24km 해역,36.46,129.63,흥해시추,45.87,2022-09-11 16:28,0.031
12,2.4,경북 영덕군 동북동쪽 24km 해역,36.46,129.63,흥해,47.55,2022-09-11 16:28,0.186
13,2.7,충남 천안시 서북구 북북서쪽 7km 지역,36.94,127.13,평택,9.12,2022-10-01 04:37,0.851
21,2.7,충남 천안시 서북구 북북서쪽 7km 지역,36.94,127.13,동탄,31.44,2022-10-01 04:37,0.058
14,2.7,충남 천안시 서북구 북북서쪽 7km 지역,36.94,127.13,오성,14.67,2022-10-01 04:38,1.588
15,2.7,충남 천안시 서북구 북북서쪽 7km 지역,36.94,127.13,아산,17.88,2022-10-01 04:38,2.084
16,2.7,충남 천안시 서북구 북북서쪽 7km 지역,36.94,127.13,안중,18.15,2022-10-01 04:38,0.628
17,2.7,충남 천안시 서북구 북북서쪽 7km 지역,36.94,127.13,천안,18.34,2022-10-01 04:38,0.774
18,2.7,충남 천안시 서북구 북북서쪽 7km 지역,36.94,127.13,오산,20.95,2022-10-01 04:38,0.197
19,2.7,충남 천안시 서북구 북북서쪽 7km 지역,36.94,127.13,평택기지,30.93,2022-10-01 04:38,0.49
20,2.7,충남 천안시 서북구 북북서쪽 7km 지역,36.94,127.13,부곡,31.18,2022-10-01 04:38,0.29
22,2.7,충남 천안시 서북구 북북서쪽 7km 지역,36.94,127.13,용인,33.21,2022-10-01 04:38,0.271
23,2.7,충남 천안시 서북구 북북서쪽 7km 지역,36.94,127.13,발안,33.28,2022-10-01 04:38,0.79
24,2.7,충남 천안시 서북구 북북서쪽 7km 지역,36.94,127.13,수원,37.84,2022-10-01 04:38,0.151
25,2.7,충남 천안시 서북구 북북서쪽 7km 지역,36.94,127.13,청주,43.03,2022-10-01 04:38,0.289
26,2.7,충남 천안시 서북구 북북서쪽 7km 지역,36.94,127.13,반월,45.75,2022-10-01 04:38,0.323
27,2.7,충남 천안시 서북구 북북서쪽 7km 지역,36.94,127.13,분당,46.7,2022-10-01 04:38,0.063
28,3.5,충북 괴산군 북동쪽 11km 지역,36.88,127.88,충주,21.79,2022-10-29 08:27,40.076
31,3.5,충북 괴산군 북동쪽 11km 지역,36.88,127.88,청주,46.05,2022-10-29 08:27,5.055
33,4.1,충북 괴산군 북동쪽 11km 지역,36.88,127.88,충주,21.79,2022-10-29 08:27,40.076
36,4.1,충북 괴산군 북동쪽 11km 지역,36.88,127.88,청주,46.05,2022-10-29 08:27,5.055
29,3.5,충북 괴산군 북동쪽 11km 지역,36.88,127.88,음성,33.07,2022-10-29 08:28,14.292
30,3.5,충북 괴산군 북동쪽 11km 지역,36.88,127.88,제천,34.49,2022-10-29 08:28,17.425
32,3.5,충북 괴산군 북동쪽 11km 지역,36.88,127.88,문막,47.1,2022-10-29 08:28,2.753
34,4.1,충북 괴산군 북동쪽 11km 지역,36.88,127.88,음성,33.07,2022-10-29 08:28,14.292
35,4.1,충북 괴산군 북동쪽 11km 지역,36.88,127.88,제천,34.49,2022-10-29 08:28,17.425
37,4.1,충북 괴산군 북동쪽 11km 지역,36.88,127.88,문막,47.1,2022-10-29 08:28,2.753
41,2.9,충북 괴산군 북동쪽 11km 지역,36.88,127.88,청주,46.05,2022-11-01 02:27,0.412
38,2.9,충북 괴산군 북동쪽 11km 지역,36.88,127.88,충주,21.79,2022-11-01 02:28,2.962
39,2.9,충북 괴산군 북동쪽 11km 지역,36.88,127.88,음성,33.07,2022-11-01 02:28,1.466
40,2.9,충북 괴산군 북동쪽 11km 지역,36.88,127.88,제천,34.49,2022-11-01 02:28,1.5
42,2.9,충북 괴산군 북동쪽 11km 지역,36.88,127.88,문막,47.1,2022-11-01 02:29,1.144
43,2.5,충남 서산시 북북서쪽 22km 해역,36.97,126.38,서산,19.33,2022-11-05 13:21,0.067
44,2.5,충남 서산시 북북서쪽 22km 해역,36.97,126.38,부곡,35.55,2022-11-05 13:21,0.228
45,2.5,충남 서산시 북북서쪽 22km 해역,36.97,126.38,평택기지,36.57,2022-11-05 13:21,0.179
46,2.5,충남 서산시 북북서쪽 22km 해역,36.97,126.38,홍성,46.24,2022-11-05 13:21,0.314
47,2.5,충남 서산시 북북서쪽 22km 해역,36.97,126.38,인천기지,46.53,2022-11-05 13:21,0.239
48,2.5,충남 서산시 북북서쪽 22km 해역,36.97,126.38,안중,49.85,2022-11-05 13:21,0.101
49,3.2,경북 김천시 동북동쪽 14km 지역,36.17,128.27,동김천,12.49,2022-12-01 15:18,6.101
50,3.2,경북 김천시 동북동쪽 14km 지역,36.17,128.27,북삼,14.75,2022-12-01 15:18,2.051
51,3.2,경북 김천시 동북동쪽 14km 지역,36.17,128.27,왜관,23.72,2022-12-01 15:18,2.226
52,3.2,경북 김천시 동북동쪽 14km 지역,36.17,128.27,상주,29.4,2022-12-01 15:18,1.103
53,3.2,경북 김천시 동북동쪽 14km 지역,36.17,128.27,관음,35.47,2022-12-01 15:18,2.434
54,3.2,경북 김천시 동북동쪽 14km 지역,36.17,128.27,중리,40.73,2022-12-01 15:18,0.818
55,2.9,울산 북구 동북동쪽 45km 해역,35.77,129.8,외동,43.54,2022-12-03 13:23,0.232
56,2.9,울산 북구 동북동쪽 45km 해역,35.77,129.8,진장,45.32,2022-12-03 13:23,0.37
57,2.9,울산 북구 동북동쪽 45km 해역,35.77,129.8,울산,49.8,2022-12-03 13:23,0.068
58,2.6,경북 안동시 남서쪽 10km 지역,36.51,128.65,서안동,13.25,2022-12-25 19:31,0.928
59,2.6,경북 안동시 남서쪽 10km 지역,36.51,128.65,상주,40.33,2022-12-25 19:31,0.442
65,3.7,인천 강화군 서쪽 25km 해역,37.74,126.2,교하,45.72,2023-01-09 01:27,0.925
60,3.7,인천 강화군 서쪽 25km 해역,37.74,126.2,영종,35.74,2023-01-09 01:28,0.349
61,3.7,인천 강화군 서쪽 25km 해역,37.74,126.2,서원창,44.19,2023-01-09 01:28,1.935
62,3.7,인천 강화군 서쪽 25km 해역,37.74,126.2,경서,44.67,2023-01-09 01:28,0.937
63,3.7,인천 강화군 서쪽 25km 해역,37.74,126.2,원창,44.9,2023-01-09 01:28,2.075
64,3.7,인천 강화군 서쪽 25km 해역,37.74,126.2,청라,44.96,2023-01-09 01:28,3.586
66,2.5,경북 영덕군 동북동쪽 24km 해역,36.46,129.63,영해,22.06,2023-01-21 13:37,1.045
67,2.5,경북 영덕군 동북동쪽 24km 해역,36.46,129.63,남호,26.64,2023-01-21 13:37,0.13
68,2.5,경북 영덕군 동북동쪽 24km 해역,36.46,129.63,평해,32.56,2023-01-21 13:37,0.121
69,2.5,경북 영덕군 동북동쪽 24km 해역,36.46,129.63,흥해시추,45.87,2023-01-21 13:37,0.062
70,2.5,경북 영덕군 동북동쪽 24km 해역,36.46,129.63,흥해,47.55,2023-01-21 13:37,0.216
72,2.3,충북 보은군 동북동쪽 11km 지역,36.52,127.85,청주,38.52,2023-02-11 08:21,0.279
71,2.3,충북 보은군 동북동쪽 11km 지역,36.52,127.85,상주,33.71,2023-02-11 08:22,0.381
73,2.3,충북 보은군 동북동쪽 11km 지역,36.52,127.85,중촌,43.66,2023-02-11 08:22,0.034
74,2.3,충북 보은군 동북동쪽 11km 지역,36.52,127.85,호탄,47.63,2023-02-11 08:22,0.431
75,2.5,전남 고흥군 북동쪽 11km 지역,34.67,127.36,벌교,21.89,2023-02-19 07:29,0.12
78,2.5,전남 고흥군 북동쪽 11km 지역,34.67,127.36,광양,41.83,2023-02-19 07:29,0.2
76,2.5,전남 고흥군 북동쪽 11km 지역,34.67,127.36,율촌,32.36,2023-02-19 07:30,0.533
77,2.5,전남 고흥군 북동쪽 11km 지역,34.67,127.36,순천,36.86,2023-02-19 07:30,0.249
79,3,경남 진주시 서북서쪽 16km 지역,35.21,127.94,사천,21.82,2023-03-03 11:27,0.373
80,3,경남 진주시 서북서쪽 16km 지역,35.21,127.94,적량,22.18,2023-03-03 11:27,0.86
81,3,경남 진주시 서북서쪽 16km 지역,35.21,127.94,군북,37.26,2023-03-03 11:27,0.613
82,3,경남 진주시 서북서쪽 16km 지역,35.21,127.94,광양,38.23,2023-03-03 11:27,1.03
83,3,경남 진주시 서북서쪽 16km 지역,35.21,127.94,순천,45.01,2023-03-03 11:27,0.209
84,3,경남 진주시 서북서쪽 16km 지역,35.21,127.94,고성,47.25,2023-03-03 11:27,0.224
85,3,경남 진주시 서북서쪽 16km 지역,35.21,127.94,율촌,47.71,2023-03-03 11:27,0.502
86,2.1,경기 연천군 북북동쪽 4km 지역,38.13,127.09,포천,17.07,2023-04-12 22:45,0.354
87,2.1,경기 연천군 북북동쪽 4km 지역,38.13,127.09,옥정,32.38,2023-04-12 22:45,0.202
88,2.1,경기 연천군 북북동쪽 4km 지역,38.13,127.09,의정부,41.37,2023-04-12 22:45,0.259
89,2.1,경기 연천군 북북동쪽 4km 지역,38.13,127.09,파주,46.81,2023-04-12 22:46,0.071
90,2.7,경북 문경시 북서쪽 10km 지역,36.66,128.12,서안동,38.28,2023-04-25 13:22,1.241
91,2.7,경북 문경시 북서쪽 10km 지역,36.66,128.12,충주,48.31,2023-04-25 13:22,0.228
92,3.1,충북 옥천군 동쪽 16km 지역,36.32,127.75,호탄,23.71,2023-04-30 19:03,5.362
93,3.1,충북 옥천군 동쪽 16km 지역,36.32,127.75,중촌,30.63,2023-04-30 19:03,0.63
94,3.1,충북 옥천군 동쪽 16km 지역,36.32,127.75,제원,32,2023-04-30 19:03,1.036
95,3.1,충북 옥천군 동쪽 16km 지역,36.32,127.75,방동,39.56,2023-04-30 19:03,0.622
96,3.1,충북 옥천군 동쪽 16km 지역,36.32,127.75,동김천,40.86,2023-04-30 19:03,1.304
97,3.1,충북 옥천군 동쪽 16km 지역,36.32,127.75,상주,42.96,2023-04-30 19:03,0.074
98,3.1,충북 옥천군 동쪽 16km 지역,36.32,127.75,계룡,44.92,2023-04-30 19:03,0.652
99,3.1,충북 옥천군 동쪽 16km 지역,36.32,127.75,청주,45.44,2023-04-30 19:03,0.699
100,3.1,충북 옥천군 동쪽 16km 지역,36.32,127.75,세종,48.59,2023-04-30 19:03,0.695
101,2.5,강원 동해시 남남동쪽 4km 해역,37.49,129.13,동해,2.84,2023-05-08 19:51,1.86
102,2.5,강원 동해시 남남동쪽 4km 해역,37.49,129.13,태백,39.64,2023-05-08 19:51,0.053
103,2.5,강원 동해시 남남동쪽 4km 해역,37.49,129.13,강릉,40.45,2023-05-08 19:51,0.209
104,2.5,강원 동해시 남남동쪽 4km 해역,37.49,129.13,삼척기지,40.55,2023-05-08 19:51,0.203
105,2.5,강원 동해시 남남동쪽 4km 지역,37.49,129.14,동해,2.39,2023-05-10 01:53,0.399
106,2.5,강원 동해시 남남동쪽 4km 지역,37.49,129.14,태백,39.97,2023-05-10 01:53,0.087
107,2.5,강원 동해시 남남동쪽 4km 지역,37.49,129.14,삼척기지,40.13,2023-05-10 01:53,0.225
108,2.5,강원 동해시 남남동쪽 4km 지역,37.49,129.14,강릉,40.96,2023-05-10 01:53,0.157
109,2.2,경기 연천군 북북동쪽 4km 지역,38.13,127.09,의정부,41.37,2023-05-10 13:29,0.44
110,2.2,경기 연천군 북북동쪽 4km 지역,38.13,127.09,파주,46.81,2023-05-10 13:29,0.099
111,2.5,강원 동해시 남쪽 4km 지역,37.49,129.12,동해,3.46,2023-05-10 16:32,0.408
112,2.5,강원 동해시 남쪽 4km 지역,37.49,129.12,태백,39.32,2023-05-10 16:32,0.084
114,2.5,강원 동해시 남쪽 4km 지역,37.49,129.12,삼척기지,40.98,2023-05-10 16:32,0.244
113,2.5,강원 동해시 남쪽 4km 지역,37.49,129.12,강릉,39.96,2023-05-10 16:35,0.116
115,2.1,전북 완주군 남쪽 15km 지역,35.77,127.18,익산,25.57,2023-06-05 12:42,0.383
116,2.1,전북 완주군 남쪽 15km 지역,35.77,127.18,김제,28.16,2023-06-05 12:42,0.401
117,2.1,전북 완주군 남쪽 15km 지역,35.77,127.18,정읍,36.05,2023-06-05 12:42,0.468
118,2.1,전북 완주군 남쪽 15km 지역,35.77,127.18,군산,41.44,2023-06-05 12:42,0.063
119,2.1,전북 완주군 남쪽 15km 지역,35.77,127.18,제원,47.78,2023-06-05 12:42,0.063
120,2.1,전북 완주군 남쪽 15km 지역,35.77,127.18,논산,49.32,2023-06-05 12:42,0.109
129,2,경남 창원시 마산합포구 남남서쪽 15km 해역,35.07,128.5,학장,41.66,2023-06-13 14:22,0.111
131,2,경남 창원시 마산합포구 남남서쪽 15km 해역,35.07,128.5,김해,42.84,2023-06-13 14:22,0.219
121,2,경남 창원시 마산합포구 남남서쪽 15km 해역,35.07,128.5,통영기지,15.2,2023-06-13 14:23,0.139
122,2,경남 창원시 마산합포구 남남서쪽 15km 해역,35.07,128.5,고성,17.67,2023-06-13 14:23,0.066
123,2,경남 창원시 마산합포구 남남서쪽 15km 해역,35.07,128.5,거제,20.6,2023-06-13 14:23,0.138
124,2,경남 창원시 마산합포구 남남서쪽 15km 해역,35.07,128.5,창원,22.29,2023-06-13 14:23,0.069
125,2,경남 창원시 마산합포구 남남서쪽 15km 해역,35.07,128.5,진해,26.48,2023-06-13 14:23,0.139
126,2,경남 창원시 마산합포구 남남서쪽 15km 해역,35.07,128.5,군북,28.54,2023-06-13 14:23,0.123
127,2,경남 창원시 마산합포구 남남서쪽 15km 해역,35.07,128.5,사천,33.74,2023-06-13 14:23,0.035
128,2,경남 창원시 마산합포구 남남서쪽 15km 해역,35.07,128.5,진영,36.07,2023-06-13 14:23,0.149
130,2,경남 창원시 마산합포구 남남서쪽 15km 해역,35.07,128.5,장림,41.87,2023-06-13 14:24,0.138
136,2.4,경남 함안군 동북동쪽 16km 지역,35.31,128.58,밀양,23.28,2023-07-17 10:36,0.255
137,2.4,경남 함안군 동북동쪽 16km 지역,35.31,128.58,김해,30.46,2023-07-17 10:36,0.509
132,2.4,경남 함안군 동북동쪽 16km 지역,35.31,128.58,창원,9.01,2023-07-17 10:37,0.138
133,2.4,경남 함안군 동북동쪽 16km 지역,35.31,128.58,칠서,10.64,2023-07-17 10:37,3.092
134,2.4,경남 함안군 동북동쪽 16km 지역,35.31,128.58,진영,18.18,2023-07-17 10:37,0.26
135,2.4,경남 함안군 동북동쪽 16km 지역,35.31,128.58,군북,22.03,2023-07-17 10:37,0.199
138,2.4,경남 함안군 동북동쪽 16km 지역,35.31,128.58,진해,31.02,2023-07-17 10:37,0.339
139,2.4,경남 함안군 동북동쪽 16km 지역,35.31,128.58,성산,36.94,2023-07-17 10:37,0.103
140,2.4,경남 함안군 동북동쪽 16km 지역,35.31,128.58,학장,38.56,2023-07-17 10:37,0.295
141,2.4,경남 함안군 동북동쪽 16km 지역,35.31,128.58,청도,40.48,2023-07-17 10:37,0.203
142,2.4,경남 함안군 동북동쪽 16km 지역,35.31,128.58,통영기지,42.58,2023-07-17 10:37,0.183
143,2.4,경남 함안군 동북동쪽 16km 지역,35.31,128.58,달성,42.88,2023-07-17 10:37,0.128
145,2.4,경남 함안군 동북동쪽 16km 지역,35.31,128.58,고성,43.75,2023-07-17 10:37,0.174
146,2.4,경남 함안군 동북동쪽 16km 지역,35.31,128.58,거제,45.91,2023-07-17 10:37,0.092
147,2.4,경남 함안군 동북동쪽 16km 지역,35.31,128.58,사천,47.64,2023-07-17 10:37,0.012
144,2.4,경남 함안군 동북동쪽 16km 지역,35.31,128.58,장림,42.96,2023-07-17 10:38,0.418
148,3.5,전북 장수군 북쪽 17km 지역,35.8,127.53,제원,33.36,2023-07-29 19:08,0.896
149,3.5,전북 장수군 북쪽 17km 지역,35.8,127.53,호탄,37.77,2023-07-29 19:08,4.851
150,3.5,전북 장수군 북쪽 17km 지역,35.8,127.53,매천,45.96,2023-07-29 19:08,1.532
151,3.5,전북 장수군 북쪽 17km 지역,35.8,127.53,익산,49.27,2023-07-29 19:08,1.974
152,2.2,전남 고흥군 남남동쪽 4km 지역,34.57,127.29,벌교,33.25,2023-08-07 00:15,0.172
153,2.2,전남 고흥군 남남동쪽 4km 지역,34.57,127.29,순천,49.68,2023-08-07 00:15,0.12